userId,count
4609,182
2004,170
732,168
2106,167
692,166
3875,150
911,141
1302,138
4332,135
11,132
3032,128
4621,124
4288,124
955,123
2144,122
4468,122
4442,122
4771,121
4503,115
2818,113
2087,112
4577,106
4765,104
398,102
219,101
2533,99
4646,95
2819,95
1906,94
1507,94
2873,93
2276,93
1728,88
3833,88
4482,87
4016,86
2982,85
1001,85
3283,84
4161,83
2046,82
4390,81
1026,80
4802,79
3153,78
4828,77
4877,76
3748,75
29,74
2366,73
2922,72
1959,70
2524,70
1984,69
3514,69
4058,68
3733,67
2692,66
133,65
4565,65
856,65
4289,64
2324,64
3757,64
1324,64
643,63
1821,62
3978,60
3736,60
2883,60
421,57
3135,57
3277,57
1338,55
3644,54
571,53
1644,52
883,52
3060,50
3048,50
847,50
4874,49
363,49
1078,48
1718,47
969,46
4215,45
2779,45
4696,45
108,45
2219,45
4443,45
1293,44
4812,44
504,44
3000,43
2264,43
1686,42
2441,42
156,42
4508,41
4660,41
399,41
1479,41
4754,40
355,40
2096,40
551,39
2146,39
184,38
1471,38
180,38
3212,38
1139,37
422,36
1332,35
1877,34
4796,34
1000,34
2432,34
2658,33
2732,33
3864,32
2563,32
4553,31
2803,30
3948,30
308,29
2579,29
3056,29
1678,28
3712,28
3599,28
209,28
1457,27
3150,27
701,27
727,26
1492,26
2714,26
601,26
695,25
4397,25
650,25
557,25
2937,25
4563,24
2744,24
2490,24
3370,23
2241,23
2273,23
2162,22
1536,22
3480,22
5007,22
2124,22
691,21
2479,21
1450,21
2983,21
3867,20
1016,20
4704,20
2857,20
4463,20
3882,19
837,19
834,19
332,19
3258,18
3522,18
502,17
246,17
1234,17
3381,17
1837,17
4155,17
3227,17
2756,16
3955,16
2686,16
2254,16
367,16
975,15
4196,15
2979,15
2371,15
1633,15
1551,15
1540,15
280,15
4845,15
1567,15
2043,15
4298,15
4274,15
4027,15
1522,15
4921,15
101,14
3933,14
4198,14
4267,14
3373,14
93,14
879,14
3318,14
3178,14
1582,14
1937,14
925,14
2054,14
2964,13
1298,13
1296,13
2459,13
4238,13
819,13
3731,13
509,13
4393,13
1480,13
2702,12
2926,12
1252,12
2323,12
1635,12
1667,12
4683,12
2511,12
3612,12
2861,12
780,12
4500,12
2129,11
1814,11
1954,11
2325,11
4847,11
2145,11
694,11
4622,11
1864,11
471,11
741,11
79,11
4515,11
3686,11
1767,11
4464,10
4415,10
938,10
3914,10
187,10
3446,10
3958,10
4931,10
1515,10
4318,10
3238,10
2384,10
2053,10
322,10
3677,10
3754,10
2990,10
4761,10
442,9
2531,9
1508,9
1089,9
3137,9
2709,9
4506,9
2357,9
649,9
2018,9
5001,9
3930,9
1942,9
4459,9
335,9
1917,9
1116,9
4715,9
589,9
3234,9
922,9
1401,9
4846,9
4832,9
4710,9
3829,9
1310,9
1409,9
572,9
2930,8
740,8
2111,8
3379,8
2671,8
2303,8
3195,8
2048,8
4244,8
4590,8
2929,8
3640,8
4815,8
2997,8
1698,8
3295,8
2817,8
2066,8
2629,8
3872,8
4851,8
463,8
397,8
400,8
2042,8
2647,8
2040,8
4180,8
2367,8
317,7
4953,7
1556,7
2578,7
4951,7
1941,7
3860,7
284,7
1981,7
1424,7
3437,7
2127,7
1087,7
978,7
1113,7
2519,7
220,7
3152,7
531,7
4990,7
1399,7
4507,7
865,7
81,7
1035,7
402,7
2634,7
3645,7
1862,7
2318,7
776,7
2662,7
2950,7
3413,7
91,7
2207,7
771,7
3290,7
3239,7
4315,6
138,6
3325,6
670,6
782,6
3171,6
1475,6
4878,6
2426,6
1275,6
1893,6
1060,6
4640,6
2538,6
1857,6
229,6
2825,6
2820,6
1138,6
1725,6
3861,6
754,6
877,6
3851,6
3859,6
2897,6
4068,6
3127,6
1948,6
3342,6
3990,6
1542,6
4428,6
1083,6
2517,6
2128,6
3136,6
767,6
3045,6
2907,6
460,6
2972,6
3626,6
2696,5
4776,5
205,5
2980,5
3863,5
4403,5
4355,5
3777,5
3449,5
2946,5
2773,5
171,5
1519,5
3670,5
1039,5
656,5
4371,5
2877,5
3350,5
2091,5
2337,5
4615,5
619,5
3609,5
4273,5
4404,5
2537,5
228,5
89,5
1921,5
3039,5
3962,5
841,5
3159,5
1378,5
2787,5
702,5
104,5
354,5
2373,5
4139,5
2520,5
2810,5
491,5
4780,5
2770,5
1571,5
3899,5
1068,5
3530,5
4554,5
2261,5
1766,5
2643,5
294,5
482,5
968,5
4783,5
4996,5
2352,5
3502,5
1447,5
3387,5
769,5
4861,5
4219,5
1985,5
2270,5
1327,5
225,5
4793,5
4435,5
2189,5
3043,5
4079,5
3611,5
2874,5
2284,5
717,5
947,5
4604,5
484,5
876,5
2510,5
4156,5
1423,5
3484,5
1953,4
4818,4
470,4
1158,4
625,4
672,4
1497,4
2180,4
419,4
970,4
2791,4
2353,4
1737,4
787,4
1379,4
3080,4
1455,4
1919,4
4989,4
933,4
3691,4
1514,4
1371,4
4769,4
2131,4
1721,4
3328,4
1637,4
3793,4
4256,4
1579,4
826,4
2097,4
1494,4
4686,4
