userId,count
2592,157
1180,148
4161,147
4577,133
3736,125
4765,117
4931,117
818,114
1890,112
2638,111
1139,109
1338,107
156,103
3889,102
3308,102
4517,101
2225,100
4456,99
2884,98
989,95
4299,95
492,94
1616,93
2468,93
1837,91
4624,87
2200,85
180,83
837,79
1263,77
4698,74
3980,74
3522,74
2756,72
4981,72
1457,71
2839,70
2686,70
362,70
1009,68
3348,67
1432,66
2533,66
4947,66
141,66
2475,65
1293,65
59,64
4563,64
2087,64
130,63
2222,63
3416,63
997,62
2744,62
1196,62
1416,61
4553,60
571,60
3808,59
3520,58
4188,57
28,55
4270,55
3955,53
4356,53
1266,51
421,51
108,51
4385,49
3755,49
1086,48
3212,48
1558,47
1984,46
4215,45
3720,42
3741,42
25,41
3265,41
3670,40
4845,39
2264,38
4801,38
3077,37
4482,37
2238,36
4468,36
635,34
2910,34
2096,34
348,33
2719,33
3995,33
2490,32
2146,32
278,32
3595,31
1745,31
2371,30
4764,30
4136,30
1503,30
1877,29
2873,28
3480,28
2393,27
1728,27
502,27
4710,27
1111,26
2453,26
480,26
355,25
4267,24
3195,24
1016,24
839,24
501,24
2687,24
834,24
4155,24
3541,23
4508,23
4919,23
3628,23
1324,23
1814,22
2386,22
701,22
203,21
3899,21
363,21
812,21
1304,20
3733,20
2692,20
3233,19
4055,19
3231,19
617,18
1268,18
945,18
3675,18
2857,18
1548,18
4097,18
471,17
3065,17
2358,17
161,17
4818,16
1609,16
2840,16
88,16
1810,16
2930,15
938,15
1656,15
1507,15
760,15
2714,14
2493,14
1437,14
3318,14
2559,14
3990,14
1135,13
649,13
1633,13
2122,13
958,13
3362,13
2125,13
1019,13
192,13
1089,12
4867,12
1551,12
2520,12
694,12
1465,12
3973,12
2043,12
430,12
3235,12
648,12
2366,12
1522,12
3412,12
4594,11
2129,11
3325,11
3058,11
3801,11
3137,11
390,11
3274,11
1129,11
2053,11
1778,11
2950,11
2065,11
956,11
572,11
1425,10
3299,10
3468,10
2426,10
4158,10
4445,10
935,10
4926,10
741,10
1996,10
3612,10
4424,10
642,10
2876,10
67,10
2777,10
1948,10
127,10
2063,10
732,10
4500,10
4629,10
829,9
3875,9
886,9
3863,9
3378,9
670,9
4539,9
3149,9
3511,9
3042,9
3930,9
4257,9
3585,9
3780,9
1564,9
3178,9
1122,9
4335,9
1937,9
3124,9
4674,9
3784,9
2659,9
3051,9
2651,9
4804,9
2054,9
3634,9
2980,8
2951,8
2407,8
3978,8
4235,8
712,8
1906,8
1549,8
1039,8
3221,8
2766,8
218,8
1046,8
4865,8
1402,8
1654,8
2976,8
1468,8
4331,8
1955,8
3238,8
3870,8
893,8
3206,8
1748,8
3700,8
4259,8
4724,8
911,8
4103,8
2381,8
3291,8
2464,7
926,7
2628,7
4828,7
3452,7
4925,7
4198,7
733,7
2268,7
4815,7
4093,7
1668,7
1087,7
2817,7
1883,7
3465,7
3152,7
1426,7
2675,7
4732,7
2608,7
3217,7
399,7
1174,7
1960,7
3011,7
3254,7
3556,7
3434,7
1807,7
4050,7
1279,7
2301,7
661,7
4529,7
2874,7
4442,7
1493,7
4538,7
3198,7
2367,7
2789,7
26,7
3639,7
1235,6
3187,6
3914,6
1215,6
4117,6
3379,6
1054,6
692,6
184,6
1804,6
973,6
4418,6
2588,6
2037,6
3310,6
3724,6
4399,6
2123,6
2448,6
2723,6
274,6
1822,6
3939,6
2802,6
4404,6
842,6
4847,6
4313,6
4525,6
3816,6
2494,6
702,6
1391,6
2661,6
1385,6
729,6
3122,6
193,6
1815,6
1578,6
665,6
832,6
2614,6
1081,6
3016,6
79,6
358,6
4634,6
3602,6
420,6
3263,6
4747,6
1401,6
2404,6
1417,6
4753,6
2525,6
4375,6
2732,6
2077,6
4202,6
366,6
1159,5
870,5
7,5
1987,5
851,5
1207,5
2799,5
4786,5
2026,5
3833,5
3447,5
951,5
3358,5
1636,5
4879,5
1058,5
3633,5
3624,5
4247,5
3092,5
2481,5
1865,5
2900,5
3000,5
2459,5
3871,5
3563,5
1871,5
2060,5
3082,5
2328,5
3456,5
1828,5
4483,5
725,5
245,5
4248,5
1969,5
1680,5
860,5
24,5
4524,5
2663,5
803,5
3632,5
1896,5
3086,5
1862,5
1894,5
3023,5
2291,5
400,5
339,5
2722,5
3776,5
2517,5
2880,5
3762,5
3290,5
4426,5
129,5
2273,5
1409,5
2838,5
3920,5
3933,5
3814,5
1786,5
2473,5
1288,5
2955,5
3768,5
325,5
2298,5
2117,5
4180,5
2888,4
740,4
3250,4
1686,4
317,4
1236,4
11,4
2863,4
1735,4
3794,4
3148,4
3927,4
4199,4
2703,4
1783,4
749,4
2319,4
4570,4
2048,4
4976,4
1782,4
4792,4
4954,4
4759,4
3905,4
1052,4
684,4
4640,4
2537,4
1053,4
1137,4
4992,4
4208,4
3039,4
1734,4
4116,4
4137,4
341,4
4964,4
