userId,count
271,152
572,150
1906,141
2276,134
3875,126
3995,115
4188,109
3000,101
729,97
2873,96
59,95
3634,95
3751,90
2145,88
2783,84
3466,81
502,75
701,75
2857,74
2687,72
18,68
3674,68
818,68
500,65
912,63
3753,63
819,62
2146,62
847,62
2298,61
2273,61
3189,60
2732,59
2432,57
1675,55
2470,54
3214,54
4874,51
2686,51
2982,50
1877,49
3741,49
815,49
694,48
4161,48
156,48
2820,47
1937,44
4710,44
3630,43
1338,43
1977,41
4431,40
1437,40
2984,40
2228,40
4155,40
3238,39
3135,39
3733,38
1486,38
1616,38
4443,38
1016,37
2371,37
32,37
865,36
203,34
1660,34
4321,34
4415,33
3252,33
1513,33
2983,33
192,33
3058,32
2774,32
3863,31
1728,31
235,31
273,30
3320,30
504,30
3920,30
4609,29
601,28
837,28
4999,28
2744,27
4920,27
2222,27
2779,26
4207,26
1735,25
866,25
650,25
4803,25
1198,25
938,24
184,24
3181,24
770,24
3575,24
1224,24
2272,23
1984,23
2385,22
2926,22
893,22
2144,21
3832,21
4545,21
3635,21
161,21
1821,20
2544,20
463,20
2312,20
11,19
4828,19
2761,19
4341,18
989,18
5030,18
219,18
4539,17
4621,17
1234,17
1740,17
88,17
3556,17
4332,17
854,16
1058,16
3867,16
2675,15
4294,15
1837,15
4338,15
692,14
4238,14
3290,14
1457,13
4815,13
186,13
1103,13
3065,12
397,12
4043,12
1522,12
1691,12
3626,11
1973,11
3930,10
3610,10
1011,10
3440,10
4540,9
78,9
931,9
1312,9
4533,9
3861,9
2533,9
245,9
4046,9
1409,9
553,9
3378,9
2436,8
52,8
2167,8
2390,8
2626,8
657,8
4745,8
1701,8
3998,8
1570,8
5078,8
4786,7
1046,7
4678,7
3178,7
646,7
3561,7
315,7
3033,7
38,7
783,7
3517,6
3891,6
3325,6
34,6
3670,6
3860,6
421,6
4009,6
4014,6
3437,6
4378,6
1946,6
1682,6
1723,6
1575,6
3235,6
299,6
803,6
571,6
2203,6
3008,6
3473,6
1674,6
1163,6
480,6
4287,6
151,6
1855,6
467,5
1425,5
1556,5
1535,5
1089,5
1277,5
3137,5
3191,5
1866,5
3892,5
999,5
1884,5
1175,5
328,5
118,5
4973,5
2809,5
4382,5
1685,5
4346,5
3940,5
1989,5
1451,5
3122,5
4554,5
3704,5
1996,5
2560,5
536,5
2082,5
2455,5
472,5
2622,5
2103,5
4978,5
4334,5
775,5
157,5
4152,5
196,5
2361,5
1840,5
5004,5
3210,5
5048,5
3809,5
2734,5
2163,5
3759,5
2647,5
1601,4
2863,4
356,4
1296,4
3105,4
3958,4
4646,4
3283,4
2277,4
2902,4
2438,4
4576,4
736,4
1671,4
3576,4
935,4
1540,4
1785,4
41,4
4513,4
1992,4
4602,4
3456,4
2245,4
4462,4
294,4
2632,4
592,4
1173,4
180,4
1406,4
4813,4
1281,4
3265,4
3647,4
1661,4
3461,4
1912,4
1086,4
2065,4
1219,4
1154,4
693,4
3198,4
1218,4
3223,4
1844,4
4180,4
789,4
2323,4
2306,4
2321,4
2520,4
231,4
346,4
4705,4
2063,4
121,4
3136,4
7,3
2789,3
2605,3
1958,3
30,3
1314,3
2738,3
2380,3
3999,3
4659,3
3649,3
824,3
4371,3
3264,3
4792,3
1354,3
2268,3
5001,3
1007,3
3609,3
1777,3
3939,3
3329,3
1267,3
3197,3
2971,3
1847,3
3788,3
4891,3
4257,3
2625,3
4924,3
4139,3
4900,3
1533,3
3361,3
3079,3
3256,3
615,3
1399,3
4897,3
3085,3
2070,3
2876,3
1155,3
1031,3
563,3
3687,3
3679,3
4816,3
3260,3
4079,3
2382,3
3291,3
1779,3
3093,3
4937,3
5064,3
541,3
310,3
3106,3
1286,3
537,3
2449,3
2817,3
1878,3
4916,3
971,3
877,3
1264,3
152,3
3432,3
1401,3
607,3
2214,3
2950,3
696,3
1553,3
1512,2
4594,2
4465,2
1043,2
169,2
2718,2
711,2
4408,2
4934,2
2058,2
991,2
2896,2
1365,2
4484,2
1510,2
3807,2
2580,2
1562,2
3080,2
2005,2
4373,2
1375,2
4570,2
5027,2
4256,2
850,2
2209,2
3117,2
4741,2
1978,2
2711,2
453,2
667,2
