userId,count
1906,161
2649,120
11,118
1293,115
1026,111
2744,110
2881,103
4565,99
3277,98
1174,97
4050,97
116,95
2353,91
1180,91
3995,90
4802,88
4122,83
1424,82
2524,82
4215,80
2238,78
692,73
1821,71
355,71
671,70
4624,68
3867,66
3875,61
1605,59
2264,59
4999,58
3317,58
129,56
3000,53
1947,52
3561,51
4765,50
2675,49
504,49
4540,48
2122,48
1650,48
1869,47
571,47
3015,45
1448,45
2599,45
3032,45
2819,45
4437,43
2997,43
2709,42
219,42
156,42
2276,42
1515,41
2579,41
2983,41
1416,39
3674,38
2485,38
1492,36
4609,36
2818,36
108,35
216,34
4199,33
1000,33
4991,33
2273,32
4931,31
650,31
2436,30
1984,30
4452,30
3628,30
2926,28
953,28
363,28
3612,28
898,28
4508,27
2329,26
4660,26
4366,25
502,25
492,25
2686,25
2732,25
59,24
289,24
4828,23
180,23
4298,22
4443,22
4101,21
3153,20
779,20
3670,19
3823,19
3741,19
4704,19
3887,19
1399,19
2043,19
2606,19
305,19
521,18
1477,18
1471,17
316,17
4182,16
1139,16
1813,16
1409,16
348,15
3128,15
1344,15
2162,13
657,13
4947,13
4332,13
2473,12
978,12
3135,12
4114,12
3137,11
1792,11
4208,11
3899,11
4939,11
463,11
4577,11
4173,10
604,10
2083,10
1327,10
1703,10
1349,9
3955,9
3882,9
2004,9
403,9
3736,9
2876,9
67,9
322,9
255,9
4180,9
3630,9
2533,9
4705,9
5002,9
2069,8
2144,8
1158,8
4371,8
3149,8
273,8
2018,8
4621,8
4847,8
4960,8
3008,8
4450,8
3318,8
1332,8
1447,8
1826,8
2868,8
4761,8
643,8
4826,8
3070,8
2898,7
4372,7
1938,7
2773,7
300,7
3042,7
4571,7
694,7
3410,7
2632,7
4927,7
3759,7
3803,7
1660,7
4832,7
1743,7
4486,7
4338,7
3416,7
601,7
3217,7
767,7
1512,6
282,6
3863,6
2648,6
309,6
1508,6
1530,6
184,6
1076,6
3852,6
2191,6
3160,6
4525,6
1148,6
4914,6
3122,6
3732,6
1350,6
4238,6
3141,6
717,6
3033,6
4821,5
4818,5
1425,5
3978,5
2026,5
1089,5
2580,5
3801,5
3958,5
1901,5
3482,5
1893,5
1777,5
3511,5
1419,5
770,5
2512,5
1916,5
2851,5
4422,5
3861,5
4055,5
3973,5
4683,5
3184,5
1960,5
899,5
2021,5
3972,5
357,5
3596,5
3647,5
3461,5
3005,5
4428,5
721,5
4529,5
1662,5
693,5
3974,5
2272,5
3546,5
684,5
2268,5
905,5
1698,5
4933,5
3147,5
3859,5
1317,5
3502,5
4993,5
397,5
875,5
1280,4
2888,4
4786,4
2791,4
1514,4
3328,4
3283,4
619,4
2612,4
3536,4
2900,4
4992,4
790,4
4567,4
4137,4
4257,4
4347,4
2038,4
4641,4
319,4
4745,4
4427,4
2636,4
1315,4
2119,4
3589,4
178,4
2528,4
1406,4
893,4
3383,4
2850,4
3543,4
1862,4
127,4
3514,4
4687,4
1176,4
2042,4
4482,4
3413,4
4463,4
2312,4
4316,4
330,4
3250,4
1215,4
2380,4
3315,4
4878,4
327,4
2365,4
1871,4
729,4
852,4
5020,4
416,4
511,4
2885,4
4715,4
515,4
1467,4
472,4
3440,4
2815,4
37,4
2857,4
2239,4
699,4
447,3
422,3
4969,3
2201,3
686,3
4144,3
2111,3
1535,3
4951,3
4814,3
787,3
1336,3
1804,3
824,3
4360,3
4167,3
4071,3
2845,3
4615,3
2875,3
3997,3
1551,3
2971,3
4352,3
1187,3
2936,3
2657,3
1654,3
2217,3
1472,3
464,3
1685,3
1688,3
4110,3
1027,3
4810,3
1682,3
1348,3
3097,3
1499,3
1583,3
1080,3
1035,3
867,3
3731,3
3225,3
2445,3
391,3
237,3
4586,3
1338,3
4724,3
2104,3
3969,3
1401,3
4043,3
2950,3
4532,3
883,3
400,3
618,3
4816,3
4534,3
579,3
2651,3
956,3
707,3
1218,3
937,3
3920,3
467,3
3584,3
279,3
2423,3
2578,3
5017,3
3691,3
3809,3
1228,3
1648,3
3595,3
3092,3
4461,3
4364,3
4865,3
486,3
347,3
2810,3
1538,3
585,3
1068,3
1033,3
3256,3
1994,3
683,3
2175,3
4507,3
1996,3
2501,3
2074,3
3169,3
2186,3
4359,3
600,3
2754,3
1952,3
3214,3
2595,3
2229,3
3719,3
2057,3
392,3
151,3
1546,3
4604,3
4594,2
2129,2
581,2
1496,2
2988,2
4864,2
1856,2
543,2
138,2
836,2
3496,2
2149,2
4817,2
3889,2
3379,2
3063,2
1941,2
4989,2
3860,2
4714,2
4013,2
4721,2
1592,2
3905,2
2798,2
3789,2
4030,2
2441,2
549,2
4239,2
3930,2
4815,2
2459,2
4555,2
3353,2
177,2
4382,2
1234,2
335,2
3323,2
4924,2
3915,2
1828,2
1725,2
294,2
4194,2
3668,2
2645,2
2352,2
4487,2
277,2
2383,2
427,2
2053,2
24,2
480,2
2565,2
803,2
4910,2
1065,2
20,2
1731,2
3556,2
3209,2
4848,2
2298,2
2999,2
1415,2
1075,2
1797,2
720,2
954,2
2801,2
2404,2
3853,2
1151,2
2517,2
3749,2
3051,2
1055,2
2620,2
655,2
532,2
2696,2
1808,2
3898,2
1793,2
1910,2
1497,2
1483,2
3337,2
1347,2
4653,2
1635,2
3773,2
2793,2
1641,2
284,2
440,2
2438,2
2357,2
3534,2
274,2
801,2
2537,2
3046,2
4116,2
341,2
2787,2
3963,2
2621,2
1875,2
429,2
2502,2
4596,2
3069,2
3994,2
3480,2
4822,2
1889,2
3236,2
755,2
5018,2
4462,2
1460,2
1363,2
2589,2
1225,2
1320,2
1313,2
4545,2
567,2
4813,2
624,2
4164,2
2615,2
4747,2
4503,2
2607,2
3432,2
911,2
181,2
4287,2
1019,2
1993,2
1233,2
2659,2
1103,2
1118,2
3562,2
2466,2
4798,2
1855,2
1153,2
918,2
3093,2
4403,1
1620,1
2180,1
2699,1
3,1
2164,1
4054,1
1379,1
3663,1
4929,1
4414,1
4506,1
1753,1
3724,1
