userId,count
4071,175
694,166
3899,162
2272,158
2520,153
2276,150
7,148
1954,147
3038,145
2926,134
1906,123
4539,122
4161,119
783,119
1682,116
883,107
4238,106
467,100
2732,100
2220,99
3753,99
3875,98
4622,98
1111,96
2756,92
1877,90
3954,90
3306,90
4991,89
2162,88
4215,87
2874,87
504,87
3252,86
1718,82
332,81
4508,79
1338,78
3082,77
3340,76
571,76
4538,76
2453,74
3318,74
3815,73
1853,72
3832,70
699,70
4764,69
3472,68
3214,68
2531,67
4309,67
4155,67
3462,66
4803,66
2972,66
1465,64
2053,64
3137,63
591,62
203,62
3041,62
2106,61
3675,61
3920,61
2004,59
4812,59
1864,58
2260,57
919,56
1962,56
4621,56
1937,56
308,55
492,55
4765,53
1193,53
2298,53
3882,52
2819,52
4288,52
701,52
181,51
2527,51
3599,50
3181,49
3101,49
3546,48
1605,48
398,48
1744,46
4235,45
2857,45
2094,44
465,44
348,43
363,43
2592,43
2366,43
4463,43
3863,42
1513,42
938,41
1977,41
3736,41
643,41
4437,40
4540,40
3624,40
399,40
4548,39
3757,39
67,39
4354,39
1197,39
161,39
4828,38
1383,38
3308,38
3124,38
1675,38
1814,37
385,37
3851,37
4468,37
1457,36
3397,36
2818,36
2989,35
1416,35
1026,35
572,34
541,33
3720,33
1000,33
579,33
129,33
59,32
1174,32
726,31
930,31
692,30
4199,30
1670,30
3764,29
3466,29
770,29
3751,29
1332,29
3556,29
3077,29
965,28
557,28
2659,28
26,27
2670,27
3088,27
3515,27
2585,27
3239,27
997,26
2957,26
2181,26
3841,26
2795,25
2982,25
3238,25
3732,25
4270,25
2769,25
3060,24
1016,24
219,24
3160,24
2163,24
3530,24
3283,23
2638,23
4294,23
4410,23
2840,22
3894,22
4903,22
3800,22
145,22
2393,21
1821,21
2709,21
2319,21
3347,21
5030,21
4385,21
909,21
2950,21
2472,21
3796,21
737,20
1942,20
209,20
4338,20
3279,19
2779,19
756,19
429,19
3861,19
3169,19
732,19
4553,18
172,18
2878,18
3571,18
2991,17
2191,17
2326,17
3265,17
2273,17
2054,17
1984,16
1039,16
3182,16
2256,16
461,16
1484,16
3385,16
2113,15
1266,15
2825,15
4999,15
1068,15
2681,15
4851,15
2990,15
3419,15
184,14
4140,14
1515,14
4847,14
1947,14
2579,14
1179,14
269,14
1774,14
4114,14
767,14
1522,14
2129,13
4867,13
3980,13
2687,13
1924,13
3164,13
471,13
4091,13
1425,12
4117,12
3048,12
2340,12
1399,12
1660,12
3413,12
2146,12
3408,11
4638,11
1728,11
1565,11
273,11
4615,11
3865,11
3718,11
3065,11
1035,11
893,11
1748,11
2063,11
4050,11
2159,11
2144,10
4953,10
432,10
3153,10
3128,10
2809,10
4356,10
1872,10
3222,10
1755,10
1507,10
397,10
1328,10
275,10
4534,10
3288,9
1938,9
187,9
1006,9
3674,9
3511,9
2217,9
1489,9
108,9
2736,9
3362,9
2740,9
4470,9
65,9
5077,9
1273,9
662,9
91,9
3404,9
2655,9
4015,8
1535,8
1089,8
4874,8
4930,8
815,8
2481,8
876,8
1234,8
3951,8
3032,8
4101,8
3361,8
2820,8
3973,8
3735,8
1760,8
2445,8
498,8
696,8
2517,8
94,8
809,8
2312,8
920,8
5048,7
383,7
3581,7
4969,7
5081,7
2896,7
4786,7
970,7
4653,7
4609,7
4570,7
4167,7
3373,7
826,7
520,7
3741,7
3633,7
4928,7
1060,7
3930,7
4364,7
2324,7
2599,7
4346,7
271,7
852,7
1177,7
612,7
671,7
2675,7
4248,7
4947,7
1980,7
480,7
358,7
237,7
1731,7
3677,7
3785,7
1521,7
3461,7
1401,7
4671,7
3754,7
5026,7
1586,7
4007,7
2940,7
4299,7
911,7
3891,6
4403,6
3914,6
