userId,count
3875,167
4161,164
3984,163
1016,157
3232,133
4991,129
692,126
1728,123
3990,120
4763,118
2686,117
2144,113
3630,104
4770,101
1338,100
3283,96
1274,96
3195,93
88,93
2273,90
3181,89
837,86
3308,84
4077,81
1877,80
756,80
4865,79
1605,77
2782,77
2874,77
3736,72
2276,72
1906,71
3514,71
729,70
1096,69
4802,68
571,68
363,66
1109,65
2490,65
1691,64
1298,63
3276,63
3591,63
911,61
1023,60
4947,60
4024,59
883,59
129,59
1757,59
4609,58
4877,57
3480,57
1457,55
1332,55
1495,55
3741,54
4084,54
2982,53
2254,53
2559,53
3000,52
2004,52
3284,52
4482,52
3241,50
3048,50
348,48
4540,48
2884,47
1492,46
2856,46
1718,46
598,46
3796,46
2930,45
3505,44
3216,44
1678,43
4050,43
145,43
4927,42
1079,41
4577,41
2693,40
3265,40
355,40
273,39
596,39
2181,39
551,39
4155,39
4442,39
2957,38
4553,38
3042,37
4999,37
2756,36
3757,36
3753,36
1853,36
3277,36
1814,35
244,35
404,35
732,35
3889,34
3515,34
2451,34
1196,33
945,33
2479,32
3238,32
4294,32
2485,31
2326,31
4188,31
29,30
2329,30
504,30
1339,28
1026,28
1873,28
2470,27
2777,27
4662,27
1389,27
11,26
198,26
1302,26
2728,26
4091,26
3621,26
2818,26
184,25
4505,25
3899,25
4089,25
1929,25
1997,24
4215,23
1636,23
839,23
1515,23
1947,23
3887,23
4016,23
856,22
3830,22
1701,22
2722,22
2531,21
2873,21
3894,21
3628,21
2727,21
847,21
1536,20
181,20
1522,20
467,19
4235,19
997,19
2579,19
1864,19
809,19
740,18
1416,18
1022,18
4867,18
3595,18
3599,18
280,18
1231,18
4182,17
555,17
67,17
2260,17
4515,17
3219,17
4114,17
4503,17
3635,17
2883,17
4289,16
2183,16
326,16
4775,16
1119,16
3914,15
4198,15
4852,15
1954,15
2657,15
1399,15
1293,15
4218,15
4874,14
4931,14
3626,14
4982,14
180,14
1824,14
4634,14
767,14
1470,13
59,13
1984,13
2253,13
3282,13
2803,13
1234,13
819,13
3612,13
1521,13
161,13
693,13
3137,12
421,12
3092,12
1087,12
4554,12
1174,12
3634,12
4351,12
3708,12
400,12
2404,12
3325,11
4363,11
4237,11
2371,11
684,11
1554,11
770,11
3397,11
3318,11
1760,11
893,11
2318,11
1001,11
4245,10
1981,10
3038,10
4456,10
2940,10
2625,10
901,10
4920,10
4545,10
4274,10
1065,10
4219,10
4724,10
4468,10
4207,10
672,9
2026,9
1296,9
1648,9
1946,9
2744,9
845,9
3159,9
1402,9
55,9
2825,9
1682,9
2122,9
1725,9
3322,9
1578,9
3009,9
2736,9
1980,9
4890,9
3091,9
955,9
1366,9
2312,9
4005,9
574,8
3996,8
101,8
991,8
2288,8
1452,8
2013,8
2774,8
1637,8
3393,8
4071,8
2337,8
1052,8
2751,8
1777,8
455,8
1968,8
3761,8
4764,8
4361,8
741,8
930,8
4485,8
3768,8
3687,8
1327,8
4428,8
4234,8
3260,8
1548,8
3448,8
717,8
4604,8
2129,7
2402,7
3408,7
282,7
4564,7
2407,7
2111,7
4786,7
3288,7
2164,7
2773,7
47,7
3153,7
2306,7
826,7
3558,7
2571,7
1354,7
4405,7
2667,7
1490,7
3608,7
2520,7
1396,7
585,7
3498,7
879,7
993,7
416,7
1561,7
4807,7
81,7
1923,7
4488,7
4716,7
1848,7
3432,7
4793,7
618,7
4460,7
3043,7
91,7
2195,7
4426,7
2678,7
4768,7
2717,7
4189,7
1000,7
870,6
613,6
1856,6
415,6
4584,6
3777,6
4951,6
1635,6
902,6
4256,6
4879,6
4650,6
1978,6
4796,6
2766,6
2965,6
2340,6
3882,6
3170,6
2102,6
4336,6
256,6
4656,6
4720,6
4139,6
1312,6
1397,6
1766,6
2632,6
1996,6
3472,6
4558,6
950,6
472,6
1862,6
463,6
3686,6
1463,6
397,6
3461,6
4687,6
4497,6
1330,6
3631,6
3413,6
2857,6
151,6
4443,6
4688,6
2704,6
2153,6
1188,6
2807,6
2647,6
4316,6
1409,6
3063,6
1785,6
1732,6
1500,5
2988,5
625,5
2683,5
4765,5
2180,5
2058,5
3933,5
4372,5
4264,5
1535,5
1911,5
2478,5
4199,5
423,5
3105,5
3279,5
223,5
1039,5
4296,5
658,5
659,5
4404,5
1046,5
842,5
4815,5
2925,5
2621,5
2491,5
1468,5
2468,5
3943,5
297,5
2619,5
450,5
2109,5
4507,5
1129,5
2589,5
4092,5
4299,5
1969,5
1680,5
2804,5
643,5
3025,5
3150,5
1752,5
4588,5
1014,5
295,5
2063,5
2124,5
2229,5
1359,5
4691,5
1491,5
2950,5
4103,5
3528,5
2137,5
3136,5
1178,5
1153,5
3013,5
3419,5
274,5
2999,5
1159,4
2700,4
2696,4
2034,4
4594,4
2605,4
2762,4
495,4
419,4
4631,4
4269,4
4216,4
737,4
2353,4
1938,4
2385,4
3379,4
1367,4
1707,4
4925,4
712,4
4204,4
1866,4
2521,4
1071,4
4792,4
619,4
2444,4
2711,4
1182,4
2018,4
2268,4
4345,4
4495,4
3864,4
2673,4
3610,4
4859,4
1654,4
2500,4
2735,4
694,4
4022,4
4394,4
167,4
4810,4
2820,4
1315,4
5013,4
3734,4
1116,4
3690,4
5020,4
2743,4
2594,4
1035,4
2985,4
2082,4
240,4
97,4
3731,4
783,4
4149,4
2032,4
648,4
79,4
336,4
757,4
1353,4
3400,4
4034,4
774,4
3180,4
4302,4
2622,4
3556,4
3263,4
3969,4
255,4
2298,4
2214,4
3424,4
1019,4
1233,4
1542,4
215,4
4010,4
1249,4
1164,4
4522,4
3290,4
1517,4
1586,4
4529,4
